agency_id,state_name,region_name,agency_type_name
18833,Texas,South,University or College
18834,Texas,South,County
18835,Texas,South,City
18837,Texas,South,County
18838,Texas,South,County
18839,Texas,South,City
18840,Texas,South,City
18841,Texas,South,City
18843,Texas,South,County
18966,Texas,South,City
18845,Texas,South,City
18967,Texas,South,City
18846,Texas,South,City
18968,Texas,South,City
18847,Texas,South,City
18969,Texas,South,City
18970,Texas,South,City
18971,Texas,South,City
18972,Texas,South,County
18974,Texas,South,County
18975,Texas,South,City
18977,Texas,South,City
18978,Texas,South,County
18979,Texas,South,City
18980,Texas,South,City
18981,Texas,South,City
18982,Texas,South,County
18983,Texas,South,City
18848,Texas,South,City
18984,Texas,South,City
18985,Texas,South,County
18849,Texas,South,City
18987,Texas,South,County
18850,Texas,South,County
18988,Texas,South,City
18991,Texas,South,County
18992,Texas,South,City
18851,Texas,South,City
18993,Texas,South,City
18852,Texas,South,City
18853,Texas,South,City
18855,Texas,South,City
18997,Texas,South,County
18998,Texas,South,City
18999,Texas,South,County
19000,Texas,South,County
19006,Texas,South,County
19007,Texas,South,City
18856,Texas,South,City
19008,Texas,South,County
18857,Texas,South,City
19009,Texas,South,City
18858,Texas,South,City
19010,Texas,South,City
19011,Texas,South,City
19012,Texas,South,City
19013,Texas,South,City
19014,Texas,South,City
18859,Texas,South,City
18860,Texas,South,City
18861,Texas,South,City
18863,Texas,South,City
18866,Texas,South,City
18867,Texas,South,City
19015,Texas,South,City
18868,Texas,South,City
18869,Texas,South,Other
18870,Texas,South,Other
18871,Texas,South,County
18872,Texas,South,City
19016,Texas,South,City
19017,Texas,South,City
18873,Texas,South,City
19018,Texas,South,City
18874,Texas,South,University or College
18875,Texas,South,County
18876,Texas,South,City
18877,Texas,South,University or College
18878,Texas,South,County
18879,Texas,South,County
18880,Texas,South,City
18881,Texas,South,County
18883,Texas,South,City
18884,Texas,South,City
18885,Texas,South,County
18886,Texas,South,City
18887,Texas,South,City
18888,Texas,South,County
18889,Texas,South,City
18890,Texas,South,City
18891,Texas,South,City
18893,Texas,South,City
19098,Texas,South,County
19099,Texas,South,City
19100,Texas,South,City
19101,Texas,South,City
19102,Texas,South,City
19104,Texas,South,City
19105,Texas,South,City
19019,Texas,South,City
19106,Texas,South,City
19107,Texas,South,County
19108,Texas,South,City
19109,Texas,South,City
19020,Texas,South,City
19021,Texas,South,City
19022,Texas,South,City
19024,Texas,South,City
19025,Texas,South,City
19110,Texas,South,University or College
19111,Texas,South,University or College
19113,Texas,South,Other
19114,Texas,South,City
19115,Texas,South,City
19117,Texas,South,Other
19118,Texas,South,County
19119,Texas,South,City
19120,Texas,South,City
19121,Texas,South,University or College
19124,Texas,South,City
19126,Texas,South,County
19026,Texas,South,City
19127,Texas,South,City
19129,Texas,South,City
19130,Texas,South,County
19131,Texas,South,City
19132,Texas,South,City
19133,Texas,South,City
19137,Texas,South,County
19138,Texas,South,City
19139,Texas,South,City
19140,Texas,South,County
19142,Texas,South,County
19027,Texas,South,City
19028,Texas,South,City
19029,Texas,South,City
19030,Texas,South,City
19031,Texas,South,University or College
19032,Texas,South,University or College
19034,Texas,South,City
19039,Texas,South,City
19041,Texas,South,University or College
19042,Texas,South,University or College
19043,Texas,South,City
19143,Texas,South,City
19046,Texas,South,County
19048,Texas,South,County
19049,Texas,South,City
19050,Texas,South,County
19052,Texas,South,County
19053,Texas,South,City
19144,Texas,South,City
19054,Texas,South,City
19145,Texas,South,City
19146,Texas,South,City
19147,Texas,South,City
19055,Texas,South,City
19148,Texas,South,City
19150,Texas,South,City
19151,Texas,South,City
19152,Texas,South,Other
19153,Texas,South,County
19154,Texas,South,County
19056,Texas,South,City
19155,Texas,South,City
19156,Texas,South,City
19157,Texas,South,City
19159,Texas,South,City
19161,Texas,South,County
19163,Texas,South,City
19164,Texas,South,County
19165,Texas,South,City
19166,Texas,South,City
19167,Texas,South,City
19168,Texas,South,City
19169,Texas,South,City
19170,Texas,South,City
19057,Texas,South,City
19058,Texas,South,City
19059,Texas,South,University or College
19060,Texas,South,University or College
19061,Texas,South,City
19171,Texas,South,City
19062,Texas,South,City
19172,Texas,South,City
19063,Texas,South,City
19064,Texas,South,City
19065,Texas,South,City
19066,Texas,South,City
19067,Texas,South,City
19068,Texas,South,City
19069,Texas,South,City
19071,Texas,South,City
19072,Texas,South,City
19073,Texas,South,City
19074,Texas,South,County
19075,Texas,South,City
19173,Texas,South,University or College
19081,Texas,South,County
19083,Texas,South,County
19175,Texas,South,City
